"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","DeMar DeRozan","40:17","10","20",".500","0","4",".000","2","3",".667","1","6","7","5","1","3","2","3","22","0"
"3","Kyle Lowry","39:40","6","12",".500","3","6",".500","3","3","1.000","0","3","3","10","1","0","4","2","18","0"
"4","Jonas Valanciunas","34:28","7","19",".368","0","1",".000","7","9",".778","8","13","21","2","0","1","3","3","21","-3"
"5","OG Anunoby","30:27","3","5",".600","1","3",".333","0","0","","1","1","2","2","0","0","0","3","7","+4"
"6","Serge Ibaka","28:30","3","8",".375","0","3",".000","3","3","1.000","1","1","2","2","0","0","1","1","9","+7"
"8","Pascal Siakam","22:24","4","5",".800","1","1","1.000","2","5",".400","0","1","1","1","0","0","2","4","11","-5"
"9","C.J. Miles","21:17","2","6",".333","2","3",".667","0","0","","2","3","5","1","0","1","1","0","6","0"
"10","Jakob Poeltl","16:48","0","3",".000","0","0","","4","4","1.000","2","4","6","0","0","0","0","3","4","+3"
"11","Delon Wright","16:00","2","6",".333","1","2",".500","0","0","","0","0","0","1","0","1","0","0","5","-4"
"12","Fred VanVleet","15:09","2","7",".286","1","5",".200","4","4","1.000","0","3","3","2","0","0","0","3","9","-7"
"13","Norman Powell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Lorenzo Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Lucas Nogueira","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","265","39","91",".429","9","28",".321","25","31",".806","15","35","50","26","2","6","13","22","112",""
