"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","James Harden","36:29",".577",".455",".455",".591","4.9","12.2","8.1","55.3","2.6","0.0","6.7","34.3","126","114"
"3","Chris Paul","35:28",".521",".474",".263",".368","0.0","15.7","7.0","14.9","4.0","0.0","8.3","28.6","101","110"
"4","Trevor Ariza","33:18",".500",".500",".800",".000","0.0","13.4","5.9","0.0","1.4","0.0","0.0","6.3","100","117"
"5","P.J. Tucker","33:17",".278",".278",".556",".000","5.3","26.8","14.9","12.3","1.4","5.7","0.0","11.4","85","111"
"6","Clint Capela","30:59",".661",".667",".000",".133","14.3","21.6","17.6","13.8","1.5","6.1","0.0","21.6","143","110"
"8","Eric Gordon","34:26",".444",".406",".375",".125","5.2","13.0","8.6","4.5","1.4","5.5","10.6","23.1","88","112"
"9","Luc Mbah a Moute","16:01",".376",".250",".500",".750","0.0","27.9","12.4","8.6","0.0","5.9","15.8","16.6","73","114"
"10","Gerald Green","9:08",".500",".500","1.000",".000","0.0","0.0","0.0","0.0","10.2","0.0","0.0","13.8","99","99"
"11","Ryan Anderson","6:53",".000",".000","1.000",".000","0.0","32.4","14.4","18.4","0.0","0.0","0.0","12.2","27","117"
"12","Nene Hilario","4:01","","","","","0.0","27.8","12.3","0.0","0.0","0.0","","0.0","0","119"
"13","Tarik Black","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Aaron Jackson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".505",".453",".389",".284","20.4","88.4","50.5","57.9","10.7","13.7","6.1","100.0","105.2","113.0"
