"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Robert Covington","40:26","8","15",".533","4","7",".571","2","2","1.000","4","5","9","2","2","2","0","5","22","+4"
"3","Joel Embiid","36:53","8","22",".364","1","6",".167","3","6",".500","4","10","14","5","1","1","2","5","20","-8"
"4","J.J. Redick","36:00","9","17",".529","5","9",".556","0","0","","1","2","3","2","1","0","0","1","23","-11"
"5","Dario Saric","34:02","4","13",".308","2","6",".333","4","4","1.000","3","6","9","3","0","0","2","3","14","-12"
"6","Ben Simmons","30:50","0","4",".000","0","0","","1","2",".500","0","5","5","7","0","1","5","2","1","-23"
"8","Marco Belinelli","19:34","5","11",".455","1","4",".250","0","0","","0","1","1","3","0","0","2","1","11","-3"
"9","T.J. McConnell","17:12","4","4","1.000","0","0","","0","0","","1","0","1","5","2","0","0","1","8","+16"
"10","Ersan Ilyasova","16:00","2","6",".333","0","1",".000","0","0","","3","3","6","1","1","0","0","1","4","+9"
"11","Amir Johnson","9:03","0","0","","0","0","","0","0","","0","1","1","2","0","0","0","2","0","+3"
"12","Markelle Fultz","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Justin Anderson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Richaun Holmes","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jerryd Bayless","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","40","92",".435","13","33",".394","10","14",".714","16","33","49","30","7","4","11","21","103",""
