"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Draymond Green","36:25","3","8",".375","2","4",".500","3","4",".750","1","11","12","9","0","0","7","3","11","-25"
"3","Klay Thompson","36:22","9","22",".409","3","9",".333","5","5","1.000","0","7","7","1","0","0","1","3","26","-25"
"4","Kevin Durant","35:15","8","18",".444","1","6",".167","5","6",".833","0","3","3","3","2","0","1","1","22","-24"
"5","Stephen Curry","28:33","6","19",".316","3","9",".333","4","4","1.000","2","4","6","2","4","2","3","1","19","-12"
"6","JaVale McGee","9:10","1","2",".500","0","0","","0","0","","2","0","2","0","0","0","0","2","2","-10"
"8","Andre Iguodala","27:41","2","4",".500","0","0","","0","0","","1","1","2","1","2","0","0","2","4","-7"
"9","Kevon Looney","22:03","3","4",".750","0","0","","0","0","","1","4","5","0","1","0","0","3","6","-10"
"10","Shaun Livingston","16:49","1","5",".200","0","0","","0","0","","0","0","0","3","0","1","0","2","2","-2"
"11","David West","7:46","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0"
"12","Zaza Pachulia","4:59","1","2",".500","0","0","","1","2",".500","3","2","5","0","1","0","0","0","3","+5"
"13","Quinn Cook","4:59","1","5",".200","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","+5"
"14","Nick Young","4:59","0","2",".000","0","2",".000","2","3",".667","0","2","2","0","0","0","0","0","2","+5"
"15","Jordan Bell","4:59","0","1",".000","0","0","","1","2",".500","0","0","0","2","1","1","0","0","1","+5"
"16","Team Totals","240","35","92",".380","9","31",".290","21","26",".808","10","34","44","22","11","4","12","17","100",""
