"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Anthony Davis","40:35",".583",".574",".111",".111","8.1","32.9","21.7","11.7","4.6","0.0","3.4","29.8","119","85"
"3","Rajon Rondo","37:14",".182",".182",".182",".000","5.9","19.1","13.2","59.6","1.2","0.0","26.7","16.6","99","97"
"4","E'Twaun Moore","35:43",".528",".455",".091",".273","0.0","2.5","1.4","9.8","0.0","0.0","7.5","15.4","110","105"
"5","Jrue Holiday","35:37",".666",".679",".500",".286","3.1","15.0","9.6","18.1","2.6","4.4","11.3","20.6","123","92"
"6","Nikola Mirotic","33:31",".643",".625",".417",".083","6.5","29.2","19.0","10.9","0.0","0.0","13.9","17.8","118","97"
"8","Ian Clark","21:32",".787",".773",".455",".091","0.0","4.1","2.3","6.9","0.0","3.7","0.0","21.9","149","102"
"9","Solomon Hill","14:20",".750",".750","1.000",".000","7.6","6.2","6.8","0.0","0.0","0.0","14.3","20.2","115","103"
"10","Darius Miller","14:18",".625",".625",".500",".000","7.6","6.2","6.9","0.0","0.0","0.0","33.3","17.3","80","104"
"11","Cheick Diallo","3:35","","","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","11.5","0","104"
"12","DeAndre Liggins","3:35","","","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","11.5","0","106"
"13","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"16","Team Totals","240",".587",".573",".323",".125","22.7","81.5","55.1","75.0","6.8","4.9","12.9","100.0","114.8","96.5"
