"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Chris Paul","30:51",".419",".382",".412",".118","0.0","25.3","13.0","28.6","1.6","0.0","0.0","27.1","96","94"
"3","James Harden","30:29",".623",".529",".471",".412","3.8","11.0","7.5","64.3","3.2","2.9","4.7","32.3","137","90"
"4","Clint Capela","30:11",".619",".625",".000",".250","7.8","22.2","15.1","18.7","3.2","11.6","25.3","18.4","107","80"
"5","Trevor Ariza","27:32",".619",".625",".625",".250","0.0","12.2","6.2","10.0","1.8","3.2","0.0","15.1","122","93"
"6","P.J. Tucker","24:37",".750",".750",".500",".000","0.0","22.7","11.6","0.0","0.0","0.0","0.0","11.4","136","98"
"8","Eric Gordon","30:52",".822",".769",".615",".385","0.0","7.2","3.7","0.0","1.6","0.0","0.0","23.0","154","97"
"9","Luc Mbah a Moute","21:46",".250",".250",".500",".000","0.0","20.5","10.5","0.0","0.0","4.0","0.0","8.6","49","95"
"10","Gerald Green","17:18",".375",".375",".750",".000","0.0","19.4","9.9","0.0","2.8","0.0","0.0","10.8","70","92"
"11","Nene Hilario","13:32","1.031","1.000",".000",".667","0.0","33.0","16.9","11.3","0.0","0.0","50.8","27.2","91","96"
"12","Ryan Anderson","4:17","1.000","1.000",".000",".000","0.0","0.0","0.0","36.4","0.0","0.0","0.0","10.9","207","102"
"13","Tarik Black","4:17",".000",".000",".000",".000","0.0","26.1","13.3","0.0","0.0","0.0","0.0","21.8","0","97"
"14","Joe Johnson","4:17",".333",".333",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.7","63","101"
"15","Aaron Jackson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".596",".552",".419",".233","7.3","88.4","48.8","61.9","8.1","12.7","7.8","100.0","113.9","92.7"
