"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Rudy Gobert","32:11","6","8",".750","0","0","","0","0","","2","7","9","2","0","2","1","4","12","-23"
"3","Donovan Mitchell","30:54","4","16",".250","2","7",".286","0","0","","0","1","1","3","0","0","3","4","10","-31"
"4","Joe Ingles","30:28","2","10",".200","2","7",".286","0","0","","0","5","5","1","0","0","5","0","6","-23"
"5","Royce O'Neale","29:25","7","10",".700","3","5",".600","0","0","","0","5","5","1","0","0","3","4","17","-29"
"6","Derrick Favors","13:14","1","4",".250","0","1",".000","0","0","","0","2","2","2","0","0","1","1","2","-19"
"8","Jae Crowder","24:39","1","6",".167","1","3",".333","4","6",".667","0","5","5","3","0","0","0","0","7","-17"
"9","Alec Burks","17:32","5","11",".455","3","4",".750","1","1","1.000","0","4","4","1","0","0","1","1","14","+2"
"10","Raul Neto","16:54","2","4",".500","0","1",".000","4","4","1.000","0","3","3","4","2","0","1","1","8","+13"
"11","Jonas Jerebko","14:33","2","3",".667","0","0","","2","2","1.000","0","2","2","0","1","0","0","0","6","+9"
"12","Dante Exum","14:30","3","7",".429","0","0","","0","0","","2","1","3","0","0","1","1","3","6","-3"
"13","Ekpe Udoh","9:29","0","0","","0","0","","0","2",".000","0","2","2","0","0","1","0","0","0","+6"
"14","David Stockton","4:17","1","3",".333","0","1",".000","0","0","","0","1","1","0","0","0","0","1","2","+8"
"15","Tony Bradley","1:54","1","2",".500","0","0","","0","0","","1","0","1","0","0","0","0","0","2","+2"
"16","Team Totals","240","35","84",".417","11","29",".379","11","15",".733","5","38","43","17","3","4","16","19","92",""
