"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Kyle Lowry","41:11",".863",".846",".615",".462","0.0","10.0","4.5","33.3","2.6","0.0","24.2","23.4","140","117"
"3","Fred VanVleet","33:11",".372",".278",".778",".444","0.0","4.1","1.9","9.0","0.0","0.0","8.5","16.5","87","124"
"4","OG Anunoby","32:57",".699",".750",".583",".167","6.9","8.3","7.6","0.0","0.0","2.7","0.0","18.2","147","121"
"5","DeMar DeRozan","27:48",".311",".250",".000",".167","4.1","14.8","9.0","11.6","3.8","6.4","18.9","26.6","68","108"
"6","Jonas Valanciunas","19:35",".644",".500",".000",".667","17.5","56.0","35.0","0.0","0.0","9.1","34.0","28.0","97","108"
"8","C.J. Miles","34:15",".689",".722",".778",".111","6.7","16.0","10.9","5.0","1.5","0.0","9.6","14.2","135","119"
"9","Serge Ibaka","28:17",".628",".500",".429",".571","4.0","33.9","17.6","5.7","0.0","12.6","18.6","17.7","116","108"
"10","Pascal Siakam","14:24",".500",".500",".000",".000","23.8","0.0","13.0","0.0","0.0","0.0","14.3","22.7","107","124"
"11","Delon Wright","8:22",".532",".000","1.000","2.000","0.0","16.4","7.5","16.4","0.0","21.2","0.0","10.5","145","104"
"12","Jakob Poeltl","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Lucas Nogueira","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Norman Powell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Lorenzo Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".599",".553",".440",".333","28.6","82.9","53.2","40.0","5.5","20.4","16.5","100.0","113.7","115.9"
