"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Kyle Lowry","41:11","9","13",".692","4","8",".500","5","6",".833","0","3","3","7","2","0","5","2","27","-6"
"3","Fred VanVleet","33:11","2","9",".222","1","7",".143","3","4",".750","0","1","1","2","0","0","1","3","8","+14"
"4","OG Anunoby","32:57","7","12",".583","4","7",".571","0","2",".000","2","2","4","0","0","1","0","2","18","0"
"5","DeMar DeRozan","27:48","3","12",".250","0","0","","2","2","1.000","1","3","4","2","2","2","3","3","8","-23"
"6","Jonas Valanciunas","19:35","3","6",".500","0","0","","4","4","1.000","3","8","11","0","0","2","4","3","10","-3"
"8","C.J. Miles","34:15","5","9",".556","3","7",".429","0","1",".000","2","4","6","1","1","0","1","4","13","+6"
"9","Serge Ibaka","28:17","3","7",".429","1","3",".333","4","4","1.000","1","7","8","1","0","4","2","6","11","+3"
"10","Pascal Siakam","14:24","3","6",".500","0","0","","0","0","","3","0","3","0","0","0","1","4","6","-2"
"11","Delon Wright","8:22","0","1",".000","0","1",".000","2","2","1.000","0","1","1","1","0","2","0","1","2","+1"
"12","Jakob Poeltl","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Lorenzo Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Norman Powell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Lucas Nogueira","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","35","75",".467","13","33",".394","20","25",".800","12","29","41","14","5","11","17","28","103",""
