"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Terry Rozier","44:28",".567",".533",".533",".133","2.6","13.5","8.4","10.9","2.4","0.0","0.0","17.2","125","98"
"3","Al Horford","41:34",".472",".417",".167",".333","2.8","12.0","7.7","7.4","2.5","5.7","12.7","18.2","93","95"
"4","Jayson Tatum","41:27",".640",".676",".235",".235","2.8","9.7","6.5","19.0","1.3","0.0","17.6","26.4","109","102"
"5","Marcus Smart","31:28",".409",".409",".636",".000","0.0","6.4","3.4","14.7","3.3","2.5","31.3","24.5","64","97"
"6","Aron Baynes","23:23",".500",".500",".286",".000","14.8","29.9","22.9","19.9","0.0","0.0","0.0","14.4","130","97"
"8","Marcus Morris","35:25",".302",".250",".500",".143","3.3","16.9","10.6","12.3","0.0","2.2","0.0","20.2","80","100"
"9","Jaylen Brown","29:14",".621",".625",".500",".167","7.9","23.9","16.5","0.0","1.8","5.4","13.4","24.5","109","91"
"10","Shane Larkin","14:26",".500",".500",".500",".000","0.0","20.8","11.1","9.8","3.6","0.0","0.0","6.7","118","93"
"11","Semi Ojeleye","3:36","1.500","1.500","1.000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.4","300","109"
"12","Greg Monroe","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Guerschon Yabusele","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Abdel Nader","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Team Totals","265",".520",".505",".418",".154","19.6","75.5","49.5","46.3","8.9","10.4","11.8","100.0","100.1","97.1"
