"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Draymond Green","37:22",".444",".444",".444",".000","2.8","20.6","12.0","27.4","6.0","4.1","25.0","13.5","96","75"
"3","Klay Thompson","36:31",".468",".423",".462",".154","0.0","18.4","9.6","0.0","0.0","0.0","6.7","17.2","85","91"
"4","Kevin Durant","36:19",".641",".593",".185",".222","2.9","21.1","12.4","25.2","1.2","2.1","6.3","36.7","122","86"
"5","Stephen Curry","31:53",".628",".588",".529",".176","0.0","3.0","1.6","8.9","0.0","0.0","9.8","26.9","109","96"
"6","Andre Iguodala","29:18",".429",".429",".714",".000","3.6","19.7","11.9","23.0","4.6","2.6","0.0","10.1","118","79"
"8","Kevon Looney","20:33",".717",".750",".000",".500","5.1","9.3","7.3","6.0","0.0","0.0","17.0","12.1","124","94"
"9","Quinn Cook","17:12",".644",".625",".375",".375","0.0","22.3","11.6","0.0","2.6","0.0","9.7","25.3","108","84"
"10","Shaun Livingston","11:46",".400",".400",".000",".000","0.0","8.2","4.2","21.6","0.0","0.0","0.0","17.9","94","94"
"11","Jordan Bell","4:31","","","","","0.0","21.3","11.1","23.1","0.0","0.0","","0.0","224","90"
"12","Nick Young","4:09",".000",".000",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.2","0","97"
"13","David West","3:56","1.000","1.000",".000",".000","0.0","0.0","0.0","100.0","0.0","19.7","0.0","21.4","206","82"
"14","Zaza Pachulia","3:26",".568","","","","30.4","0.0","14.6","0.0","13.0","0.0","53.2","23.1","86","68"
"15","JaVale McGee","3:04",".500",".500",".500",".000","0.0","62.6","32.6","0.0","0.0","0.0","0.0","27.5","91","78"
"16","Team Totals","240",".573",".542",".347",".189","10.9","80.0","46.9","60.9","10.3","8.1","9.7","100.0","110.0","85.8"
