"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Anthony Davis","39:56","8","22",".364","0","3",".000","10","10","1.000","2","10","12","1","1","2","6","4","26","-25"
"3","Jrue Holiday","39:33","8","16",".500","1","4",".250","2","4",".500","2","5","7","3","1","0","2","3","19","-25"
"4","E'Twaun Moore","36:45","8","14",".571","1","4",".250","3","4",".750","0","1","1","1","0","0","1","2","20","-21"
"5","Rajon Rondo","31:58","2","10",".200","1","2",".500","1","4",".250","2","9","11","6","0","0","4","1","6","-20"
"6","Nikola Mirotic","31:52","1","7",".143","0","2",".000","5","5","1.000","2","9","11","2","0","2","2","3","7","-16"
"8","Ian Clark","24:26","4","14",".286","0","7",".000","3","3","1.000","1","1","2","3","3","0","2","4","11","-11"
"9","Darius Miller","14:53","0","2",".000","0","2",".000","0","0","","0","3","3","0","1","0","0","0","0","-2"
"10","Solomon Hill","12:24","1","2",".500","1","2",".500","0","0","","1","2","3","1","0","0","1","2","3","-3"
"11","Cheick Diallo","4:11","0","1",".000","0","0","","0","0","","0","0","0","0","1","0","0","2","0","-4"
"12","DeAndre Liggins","4:02","0","0","","0","0","","0","0","","0","1","1","0","0","0","1","0","0","-3"
"13","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"14","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","32","88",".364","4","26",".154","24","30",".800","10","41","51","17","7","4","19","21","92",""
