"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Clint Capela","37:05","6","11",".545","0","0","","0","0","","5","10","15","2","2","6","0","2","12","+3"
"3","James Harden","36:24","8","22",".364","1","7",".143","7","8",".875","0","4","4","3","4","0","8","3","24","+16"
"4","Chris Paul","35:16","12","23",".522","1","6",".167","2","2","1.000","2","10","12","6","2","1","1","3","27","+10"
"5","P.J. Tucker","34:51","3","6",".500","3","5",".600","2","2","1.000","1","6","7","1","0","1","0","2","11","+12"
"6","Trevor Ariza","31:51","2","7",".286","2","7",".286","0","0","","0","4","4","0","0","0","0","3","6","+10"
"8","Eric Gordon","25:45","3","10",".300","1","6",".167","2","2","1.000","0","2","2","2","0","0","2","3","9","+3"
"9","Luc Mbah a Moute","16:09","1","3",".333","0","2",".000","1","1","1.000","0","2","2","0","2","1","1","0","3","+3"
"10","Gerald Green","12:39","2","5",".400","2","5",".400","0","0","","0","1","1","0","0","0","0","2","6","+1"
"11","Nene Hilario","10:00","0","1",".000","0","0","","2","2","1.000","1","1","2","1","1","0","1","3","2","+7"
"12","Ryan Anderson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Joe Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Tarik Black","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Aaron Jackson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","88",".420","10","38",".263","16","17",".941","9","40","49","15","11","9","13","21","100",""
