"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Terry Rozier","39:06","4","11",".364","1","6",".167","2","4",".500","0","8","8","2","0","0","1","2","11","-14"
"3","Jayson Tatum","35:34","7","16",".438","2","6",".333","4","4","1.000","1","3","4","4","0","1","3","3","20","-1"
"4","Al Horford","34:35","4","6",".667","0","1",".000","2","2","1.000","2","8","10","3","1","3","4","1","10","-11"
"5","Marcus Smart","30:31","5","12",".417","1","2",".500","3","4",".750","1","4","5","3","2","2","3","5","14","-12"
"6","Aron Baynes","19:18","2","7",".286","2","6",".333","3","4",".750","0","5","5","0","0","1","0","2","9","-9"
"8","Marcus Morris","34:07","6","15",".400","3","6",".500","2","3",".667","1","4","5","1","0","2","1","5","17","-7"
"9","Jaylen Brown","23:00","2","6",".333","2","5",".400","2","2","1.000","0","3","3","2","0","0","1","5","8","-5"
"10","Semi Ojeleye","12:25","0","0","","0","0","","0","0","","0","0","0","0","1","0","0","4","0","+3"
"11","Greg Monroe","7:15","1","2",".500","0","0","","1","1","1.000","1","1","2","0","0","1","2","1","3","-2"
"12","Shane Larkin","1:45","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-1"
"13","Guerschon Yabusele","1:12","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+2"
"14","Abdel Nader","1:12","0","0","","0","0","","0","2",".000","0","0","0","1","0","0","0","0","0","+2"
"15","Team Totals","240","31","75",".413","11","32",".344","19","26",".731","6","36","42","16","4","10","15","28","92",""
