"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","T.J. McConnell","38:57",".764",".792",".083",".083","7.1","14.3","10.4","22.9","0.0","0.0","0.0","13.5","163","103"
"3","Dario Saric","38:57",".636",".559",".176",".353","9.5","11.5","10.4","18.3","1.3","2.9","0.0","21.3","147","98"
"4","Joel Embiid","35:17",".472",".467",".333",".133","7.8","28.5","17.2","9.1","0.0","0.0","11.2","21.4","98","100"
"5","J.J. Redick","32:38",".295",".318",".636",".182","0.0","3.4","1.5","13.1","1.6","0.0","0.0","15.4","77","101"
"6","Ben Simmons","32:35",".513",".400",".000",".533","2.8","41.1","20.2","25.3","3.1","0.0","17.8","29.2","99","90"
"8","Marco Belinelli","24:31",".383",".250",".300",".400","0.0","4.6","2.1","5.7","2.1","0.0","0.0","20.3","95","100"
"9","Robert Covington","19:00",".214",".214",".714",".000","9.7","17.6","13.3","21.4","2.7","5.9","12.5","17.8","72","91"
"10","Ersan Ilyasova","17:19",".361",".286",".286",".429","16.0","12.9","14.6","8.5","0.0","6.4","10.7","22.8","90","98"
"11","Justin Anderson","0:46","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","106"
"12","Jerryd Bayless","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Richaun Holmes","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Markelle Fultz","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Amir Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".488",".441",".277",".277","30.8","86.0","55.8","63.2","6.4","7.0","7.1","100.0","109.7","98.0"
