"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Jrue Holiday","46:08",".605",".571",".286",".143","0.0","20.4","10.8","38.7","1.0","0.0","15.2","25.1","112","109"
"3","Anthony Davis","45:42",".567",".519",".077",".346","4.7","35.0","20.8","3.8","1.0","4.4","9.1","31.7","103","102"
"4","E'Twaun Moore","40:24",".388",".375",".250",".167","2.6","2.3","2.5","13.1","0.0","0.0","23.7","18.4","70","116"
"5","Nikola Mirotic","37:25",".607",".611",".667",".222","0.0","17.6","9.4","3.6","0.0","0.0","9.2","12.8","103","112"
"6","Rajon Rondo","20:56",".500",".500",".286",".000","0.0","9.0","4.8","47.0","6.6","0.0","22.2","18.9","101","100"
"8","Ian Clark","29:40",".500",".500",".333",".000","3.6","9.5","6.7","4.7","3.1","0.0","0.0","13.4","103","107"
"9","Darius Miller","16:56",".625",".625",".500",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.4","113","116"
"10","Solomon Hill","2:49","","","","","0.0","0.0","0.0","41.6","0.0","23.7","","0.0","224","95"
"11","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"13","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Cheick Diallo","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","DeAndre Liggins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".547",".523",".273",".182","8.9","78.4","45.8","63.4","6.7","5.6","12.8","100.0","100.0","108.7"
