"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Royce O'Neale","37:22",".723",".650",".200",".400","0.0","10.7","4.8","4.2","1.4","0.0","7.8","16.0","136","126"
"3","Donovan Mitchell","34:19",".625",".588",".412",".294","3.1","11.7","6.9","49.5","1.5","0.0","13.5","30.4","124","125"
"4","Rudy Gobert","33:55",".558",".556",".000",".444","12.6","19.7","15.7","0.0","1.6","16.1","0.0","14.9","128","112"
"5","Jae Crowder","33:11",".253",".227",".455",".182","6.4","24.1","14.3","0.0","1.6","0.0","20.2","21.1","52","123"
"6","Joe Ingles","31:53",".600",".600",".600",".000","3.3","16.7","9.3","29.6","0.0","0.0","16.7","17.7","117","128"
"8","Alec Burks","31:56",".640",".567",".333",".333","3.3","8.4","5.6","27.4","1.7","0.0","10.4","28.2","127","126"
"9","Raul Neto","17:00",".000",".000",".400",".000","6.3","0.0","3.5","22.3","0.0","0.0","16.7","16.6","43","131"
"10","Derrick Favors","14:05",".872","1.000",".000",".333","7.6","47.3","25.2","0.0","0.0","0.0","0.0","11.5","169","123"
"11","Jonas Jerebko","6:19","1.500","1.500","1.000",".000","0.0","42.2","18.8","0.0","0.0","0.0","0.0","7.4","300","124"
"12","David Stockton","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Tony Bradley","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Ekpe Udoh","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Team Totals","240",".565",".531",".346",".259","24.4","83.3","50.6","63.2","5.5","11.4","11.7","100.0","112.5","123.6"
