"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Royce O'Neale","37:22","6","10",".600","1","2",".500","4","4","1.000","0","3","3","1","1","0","1","5","17","-7"
"3","Donovan Mitchell","34:19","9","17",".529","2","7",".286","4","5",".800","1","3","4","9","1","0","3","3","24","-3"
"4","Rudy Gobert","33:55","5","9",".556","0","0","","2","4",".500","4","5","9","0","1","5","0","2","12","+2"
"5","Jae Crowder","33:11","2","11",".182","1","5",".200","1","2",".500","2","6","8","0","1","0","3","0","6","-5"
"6","Joe Ingles","31:53","5","10",".500","2","6",".333","0","0","","1","4","5","6","0","0","2","4","12","-3"
"8","Alec Burks","31:56","7","15",".467","3","5",".600","5","5","1.000","1","2","3","5","1","0","2","1","22","-4"
"9","Raul Neto","17:00","0","5",".000","0","2",".000","0","0","","1","0","1","3","0","0","1","2","0","-16"
"10","Derrick Favors","14:05","3","3","1.000","0","0","","0","1",".000","1","5","6","0","0","0","0","1","6","-12"
"11","Jonas Jerebko","6:19","1","1","1.000","1","1","1.000","0","0","","0","2","2","0","0","0","0","0","3","-2"
"12","Tony Bradley","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","David Stockton","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Ekpe Udoh","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Team Totals","240","38","81",".469","10","28",".357","16","21",".762","11","30","41","24","5","5","12","18","102",""
