"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LeBron James","38:46",".629",".638",".379",".345","2.9","23.2","13.6","86.4","0.0","2.0","15.2","47.6","118","114"
"3","Kevin Love","35:15",".583",".556",".333",".111","6.3","36.9","22.4","11.0","0.0","0.0","5.0","26.4","118","111"
"4","George Hill","33:18",".307",".250",".500",".500","3.4","3.0","3.2","4.1","0.0","4.7","0.0","6.9","86","118"
"5","Tristan Thompson","29:39",".667",".667",".000",".000","15.1","10.1","12.5","0.0","0.0","0.0","25.0","12.6","112","120"
"6","J.R. Smith","27:22",".000",".000",".571",".000","0.0","11.0","5.8","4.7","0.0","0.0","0.0","12.0","10","120"
"8","Jeff Green","27:52",".510",".500",".600",".400","0.0","7.2","3.8","5.1","0.0","5.6","46.0","18.3","56","116"
"9","Kyle Korver","21:30",".652",".625",".625",".125","0.0","4.7","2.5","0.0","0.0","0.0","0.0","18.4","129","122"
"10","Rodney Hood","11:21",".500",".500",".000",".000","0.0","17.6","9.3","12.9","0.0","0.0","33.3","12.4","77","117"
"11","Larry Nance","11:21",".000",".000",".000",".000","0.0","26.4","13.9","0.0","9.1","0.0","0.0","4.1","0","94"
"12","Jose Calderon","1:48","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","123"
"13","Cedi Osman","1:48","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","123"
"14","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jordan Clarkson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".537",".525",".388",".213","18.6","77.1","49.5","48.6","2.2","8.2","14.6","100.0","101.4","115.4"
