"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","38:46","16","29",".552","5","11",".455","5","10",".500","1","9","10","12","0","1","6","3","42","-9"
"3","Kevin Love","35:15","9","18",".500","2","6",".333","2","2","1.000","2","13","15","2","0","0","1","4","22","-10"
"4","George Hill","33:18","1","4",".250","0","2",".000","1","2",".500","1","1","2","1","0","2","0","3","3","-6"
"5","Tristan Thompson","29:39","4","6",".667","0","0","","0","0","","4","3","7","0","0","0","2","3","8","-5"
"6","J.R. Smith","27:22","0","7",".000","0","4",".000","0","0","","0","3","3","1","0","0","0","2","0","-6"
"8","Jeff Green","27:52","2","5",".400","1","3",".333","1","2",".500","0","2","2","1","0","2","5","3","6","-17"
"9","Kyle Korver","21:30","4","8",".500","2","5",".400","1","1","1.000","0","1","1","0","0","0","0","0","11","-5"
"10","Rodney Hood","11:21","1","2",".500","0","0","","0","0","","0","2","2","1","0","0","1","1","2","-7"
"11","Larry Nance","11:21","0","1",".000","0","0","","0","0","","0","3","3","0","2","0","0","2","0","-2"
"12","Jose Calderon","1:48","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+1"
"13","Cedi Osman","1:48","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+1"
"14","Jordan Clarkson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","80",".463","10","31",".323","10","17",".588","8","37","45","18","2","5","15","21","94",""
