"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Draymond Green","37:12",".510",".400",".400",".400","0.0","20.9","9.3","21.3","2.6","5.6","40.5","11.6","83","122"
"3","Klay Thompson","36:42",".364",".364",".364",".000","0.0","7.1","3.2","7.5","2.6","0.0","0.0","13.1","84","128"
"4","Kevin Durant","35:25",".732",".659",".318",".409","2.9","7.3","4.9","0.0","0.0","0.0","16.1","38.3","119","134"
"5","Stephen Curry","34:06",".412",".395",".421",".053","0.0","26.6","11.9","33.8","0.0","0.0","9.3","27.5","91","129"
"6","Andre Iguodala","27:03",".512",".500",".250",".500","7.7","19.2","12.8","5.0","0.0","0.0","38.1","12.7","78","131"
"8","Shaun Livingston","18:25",".644",".667",".000",".667","5.7","0.0","3.1","15.4","0.0","0.0","0.0","9.2","149","135"
"9","Nick Young","17:28",".500",".500","1.000",".000","6.0","0.0","3.3","16.4","0.0","0.0","0.0","15.0","119","135"
"10","Kevon Looney","11:24",".500",".500",".000",".000","27.5","22.8","25.4","0.0","4.2","9.2","20.0","19.2","104","115"
"11","David West","6:00",".500",".500",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.2","96","135"
"12","Jordan Bell","5:39",".174",".000",".000","1.000","0.0","68.9","30.7","0.0","0.0","18.5","0.0","22.3","40","110"
"13","Quinn Cook","5:18",".902",".833",".667",".667","0.0","24.5","10.9","0.0","0.0","0.0","0.0","32.0","176","130"
"14","Zaza Pachulia","5:18",".868","1.000",".000","1.000","19.7","0.0","10.9","43.4","9.1","0.0","0.0","23.8","183","115"
"15","JaVale McGee","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".554",".512",".353",".259","19.6","73.0","43.4","53.8","6.0","8.7","13.7","100.0","105.8","127.9"
