"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Jayson Tatum","31:12",".666",".600",".100",".800","0.0","4.3","1.9","7.8","0.0","3.7","6.9","22.0","125","128"
"3","Al Horford","29:59",".717",".625",".500",".500","0.0","31.1","14.2","24.8","0.0","0.0","17.0","9.3","131","125"
"4","Terry Rozier","27:39",".505",".458",".333",".167","0.0","14.5","6.6","17.1","1.9","0.0","13.4","25.5","90","124"
"5","Marcus Morris","25:42",".461",".313",".375",".500","4.3","20.8","11.8","0.0","0.0","0.0","9.3","19.8","91","127"
"6","Jaylen Brown","20:45",".563",".500",".375",".250","0.0","12.9","5.9","10.5","0.0","5.5","25.3","27.1","83","125"
"8","Marcus Smart","26:22",".325",".222",".444",".444","0.0","0.0","0.0","43.1","3.9","0.0","21.8","24.7","69","122"
"9","Aron Baynes","23:40",".500",".500",".143",".000","18.9","11.3","15.4","8.9","0.0","9.7","12.5","16.0","107","123"
"10","Semi Ojeleye","20:23",".200",".200",".400",".000","0.0","0.0","0.0","8.8","2.5","0.0","0.0","11.6","50","126"
"11","Greg Monroe","16:21",".740",".800",".000",".800","6.8","32.6","18.6","0.0","0.0","0.0","22.8","25.4","106","124"
"12","Guerschon Yabusele","11:08",".266",".000","1.000","2.000","0.0","47.9","21.8","0.0","0.0","0.0","0.0","8.0","59","121"
"13","Abdel Nader","6:49",".200",".200",".200",".000","0.0","19.6","8.9","0.0","0.0","0.0","16.7","41.7","33","127"
"14","Shane Larkin","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"15","Team Totals","240",".498",".432",".297",".378","14.0","77.8","43.0","55.2","4.3","9.5","14.8","100.0","92.4","124.6"
