"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","37:30","8","12",".667","3","3","1.000","8","10",".800","1","4","5","12","2","2","3","3","27","+31"
"3","George Hill","29:45","4","11",".364","3","9",".333","2","4",".500","0","3","3","2","1","0","0","3","13","+24"
"4","Kevin Love","29:45","4","12",".333","1","4",".250","4","4","1.000","2","12","14","4","1","0","4","3","13","+24"
"5","J.R. Smith","26:02","3","8",".375","3","4",".750","2","2","1.000","0","5","5","0","0","0","2","3","11","+20"
"6","Tristan Thompson","22:38","3","5",".600","0","0","","4","4","1.000","3","4","7","0","0","0","0","1","10","+22"
"8","Larry Nance","21:15","4","4","1.000","0","0","","0","0","","1","5","6","3","3","0","2","3","8","+5"
"9","Kyle Korver","20:05","5","5","1.000","4","4","1.000","0","0","","0","2","2","0","0","0","2","2","14","+8"
"10","Jeff Green","18:50","2","4",".500","0","2",".000","2","2","1.000","0","0","0","1","1","0","0","2","6","+5"
"11","Jordan Clarkson","18:15","3","11",".273","3","7",".429","0","0","","1","0","1","0","0","1","0","3","9","+6"
"12","Cedi Osman","6:49","1","1","1.000","0","0","","1","2",".500","0","0","0","1","1","0","0","0","3","+1"
"13","Ante Zizic","4:33","0","2",".000","0","0","","2","2","1.000","0","2","2","0","0","0","1","0","2","+2"
"14","Jose Calderon","4:33","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","+2"
"15","Rodney Hood","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","76",".487","17","34",".500","25","30",".833","8","37","45","23","9","3","14","23","116",""
