"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Al Horford","41:49","5","13",".385","1","3",".333","4","4","1.000","0","7","7","1","1","1","0","1","15","+2"
"3","Jaylen Brown","39:43","10","23",".435","2","6",".333","3","3","1.000","1","5","6","2","2","0","0","5","25","-8"
"4","Terry Rozier","39:16","6","15",".400","3","9",".333","1","3",".333","0","6","6","11","3","0","0","3","16","+3"
"5","Jayson Tatum","38:20","5","13",".385","0","1",".000","7","8",".875","1","1","2","1","0","0","2","3","17","-14"
"6","Marcus Morris","24:25","4","8",".500","1","2",".500","1","2",".500","2","1","3","1","1","0","2","5","10","-9"
"8","Marcus Smart","30:35","2","8",".250","1","5",".200","3","4",".750","0","5","5","5","2","1","5","5","8","-4"
"9","Aron Baynes","16:25","2","3",".667","0","0","","4","6",".667","5","2","7","0","0","1","0","2","8","-1"
"10","Semi Ojeleye","9:27","1","2",".500","1","2",".500","0","0","","0","1","1","0","0","0","0","2","3","-14"
"11","Shane Larkin","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"12","Guerschon Yabusele","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Greg Monroe","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Abdel Nader","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Team Totals","240","35","85",".412","9","28",".321","23","30",".767","9","28","37","21","9","3","9","26","102",""
