"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","P.J. Tucker","44:08",".347",".000",".500","1.000","10.6","26.6","19.3","7.3","2.4","1.8","0.0","6.3","122","94"
"3","James Harden","43:26",".532",".481",".462",".192","5.4","4.5","4.9","24.8","3.7","3.6","6.6","33.8","112","102"
"4","Chris Paul","41:31",".620",".625",".450",".200","0.0","4.7","2.6","25.1","1.3","0.0","12.1","29.0","115","109"
"5","Trevor Ariza","40:43",".781",".750",".750","1.000","2.9","4.8","3.9","4.3","1.3","1.9","25.8","9.3","122","108"
"6","Clint Capela","23:56",".556",".400",".000","1.000","4.9","49.1","29.0","0.0","0.0","6.5","21.7","18.7","95","85"
"8","Eric Gordon","34:32",".432",".321",".571",".357","0.0","2.8","1.5","5.7","0.0","2.2","5.8","24.2","90","112"
"9","Gerald Green","11:44",".375",".375","1.000",".000","0.0","16.7","9.1","0.0","0.0","13.2","0.0","16.5","80","98"
"10","Tarik Black","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"11","Joe Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","Nene Hilario","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Ryan Anderson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Aaron Jackson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Luc Mbah a Moute","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".534",".468",".494",".351","19.5","67.3","45.6","40.0","7.8","14.5","10.1","100.0","105.7","102.4"
