"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","P.J. Tucker","44:08","0","4",".000","0","2",".000","4","4","1.000","4","12","16","2","2","1","0","3","4","+7"
"3","James Harden","43:26","11","26",".423","3","12",".250","5","5","1.000","2","2","4","4","3","2","2","3","30","-5"
"4","Chris Paul","41:31","10","20",".500","5","9",".556","2","4",".500","0","2","2","4","1","0","3","4","27","+5"
"5","Trevor Ariza","40:43","2","4",".500","2","3",".667","3","4",".750","1","2","3","1","1","1","2","4","9","-5"
"6","Clint Capela","23:56","2","5",".400","0","0","","4","5",".800","1","12","13","0","0","2","2","3","8","-9"
"8","Eric Gordon","34:32","4","14",".286","1","8",".125","5","5","1.000","0","1","1","1","0","1","1","2","14","+8"
"9","Gerald Green","11:44","1","4",".250","1","4",".250","0","0","","0","2","2","0","0","2","0","0","3","+14"
"10","Tarik Black","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"11","Luc Mbah a Moute","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","Aaron Jackson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Nene Hilario","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Ryan Anderson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Joe Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","30","77",".390","12","38",".316","23","27",".852","8","33","41","12","7","9","10","19","95",""
