"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Stephen Curry","44:23","10","22",".455","7","15",".467","0","0","","0","9","9","10","4","1","5","4","27","+13"
"3","Kevin Durant","44:20","11","21",".524","5","11",".455","7","10",".700","0","5","5","5","1","3","2","3","34","+10"
"4","Draymond Green","44:07","5","13",".385","0","5",".000","0","0","","4","9","13","5","1","1","5","4","10","+11"
"5","Klay Thompson","30:42","8","13",".615","3","7",".429","0","2",".000","0","3","3","1","2","0","2","4","19","0"
"6","Kevon Looney","16:59","2","5",".400","0","0","","0","2",".000","3","2","5","0","0","0","0","1","4","+1"
"8","Shaun Livingston","24:27","2","3",".667","0","0","","0","0","","1","1","2","1","0","0","0","1","4","-12"
"9","Nick Young","16:50","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","2","3","+5"
"10","Jordan Bell","15:47","0","2",".000","0","0","","0","0","","3","2","5","3","1","2","2","2","0","+17"
"11","Quinn Cook","1:27","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","+2"
"12","Patrick McCaw","0:58","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-2"
"13","David West","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","JaVale McGee","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Zaza Pachulia","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","39","80",".488","16","39",".410","7","14",".500","11","31","42","25","9","7","16","22","101",""
