"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LeBron James","47:32",".692",".641",".219",".344","8.4","11.7","9.8","39.1","1.1","2.1","12.0","39.0","138","125"
"3","Kevin Love","39:04",".503",".475",".400",".100","5.1","39.3","19.4","4.3","0.0","0.0","4.6","24.8","114","127"
"4","J.R. Smith","38:59",".460",".400",".600",".200","7.7","10.7","9.0","6.8","0.0","0.0","15.5","14.6","104","129"
"5","George Hill","30:29",".509",".500",".667",".333","3.3","4.6","3.8","4.3","1.8","0.0","0.0","10.0","128","126"
"6","Tristan Thompson","20:16",".250",".250",".000",".000","9.9","20.6","14.4","0.0","0.0","4.8","20.0","10.9","67","124"
"8","Jeff Green","35:58",".389",".389",".667",".000","5.6","3.9","4.9","18.6","1.5","0.0","10.0","12.3","108","127"
"9","Larry Nance","19:21",".580",".667",".000",".667","20.7","50.5","33.1","0.0","2.8","0.0","0.0","17.8","135","120"
"10","Jordan Clarkson","17:09",".222",".222",".333",".000","5.8","16.3","10.2","0.0","3.1","5.7","10.0","25.8","55","116"
"11","Kyle Korver","16:01",".436",".500","1.000",".333","0.0","17.4","7.3","8.1","0.0","0.0","0.0","9.5","110","129"
"12","Jose Calderon","0:03","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","130"
"13","Rodney Hood","0:03","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","130"
"14","Cedi Osman","0:03","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","130"
"15","Ante Zizic","0:02","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","130"
"16","Team Totals","265",".524",".495",".374",".222","35.8","89.5","58.2","40.9","5.1","5.6","9.2","100.0","115.3","125.4"
