"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","47:32","19","32",".594","3","7",".429","10","11",".909","4","4","8","8","1","1","5","2","51","-13"
"3","Kevin Love","39:04","9","20",".450","1","8",".125","2","2","1.000","2","11","13","1","0","0","1","1","21","-13"
"4","J.R. Smith","38:59","3","10",".300","2","6",".333","2","2","1.000","3","3","6","2","0","0","2","1","10","-22"
"5","George Hill","30:29","2","6",".333","2","4",".500","1","2",".500","1","1","2","1","1","0","0","5","7","-11"
"6","Tristan Thompson","20:16","1","4",".250","0","0","","0","0","","2","3","5","0","0","1","1","3","2","-9"
"8","Jeff Green","35:58","3","9",".333","1","6",".167","0","0","","2","1","3","5","1","0","1","1","7","-5"
"9","Larry Nance","19:21","4","6",".667","0","0","","1","4",".250","4","7","11","0","1","0","0","2","9","+3"
"10","Jordan Clarkson","17:09","2","9",".222","0","3",".000","0","0","","1","2","3","0","1","1","1","1","4","+8"
"11","Kyle Korver","16:01","1","3",".333","1","3",".333","0","1",".000","0","2","2","1","0","0","0","2","3","+12"
"12","Jose Calderon","0:03","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0"
"13","Cedi Osman","0:03","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0"
"14","Rodney Hood","0:03","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0"
"15","Ante Zizic","0:02","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0"
"16","Team Totals","265","44","99",".444","10","37",".270","16","22",".727","19","34","53","18","5","3","11","18","114",""
