"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Kevin Durant","43:15",".824",".783",".391",".304","2.9","29.0","17.2","30.6","1.2","1.8","10.3","32.5","148","104"
"3","Klay Thompson","40:35",".455",".455",".455",".000","0.0","10.3","5.6","6.3","1.3","1.9","0.0","13.1","97","111"
"4","Draymond Green","40:22",".563",".500",".250",".250","0.0","5.2","2.8","28.7","2.6","0.0","18.4","13.0","119","112"
"5","Stephen Curry","39:15",".310",".219",".625",".250","0.0","13.3","7.3","19.1","1.3","0.0","10.1","24.3","75","111"
"6","JaVale McGee","14:29",".714",".714",".000",".000","17.4","7.2","11.8","0.0","0.0","10.9","12.5","26.7","123","110"
"8","Andre Iguodala","21:53",".820",".750",".000",".500","0.0","9.5","5.2","6.2","2.4","0.0","17.0","13.0","135","110"
"9","Shaun Livingston","17:23",".800",".800",".000",".000","0.0","0.0","0.0","17.8","0.0","0.0","0.0","13.9","163","119"
"10","Jordan Bell","11:58",".740",".800",".000",".800","21.1","34.9","28.7","0.0","0.0","6.6","0.0","27.3","153","101"
"11","David West","5:04",".000",".000",".000",".000","24.9","20.6","22.6","0.0","0.0","0.0","33.3","28.6","30","111"
"12","Nick Young","4:48","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","120"
"13","Patrick McCaw","0:58","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","120"
"14","Kevon Looney","0:01","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","120"
"15","Zaza Pachulia","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".615",".574",".321",".235","15.8","67.4","44.0","64.3","6.5","8.2","10.1","100.0","118.5","109.9"
