"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Kevin Durant","43:15","15","23",".652","6","9",".667","7","7","1.000","1","12","13","7","1","1","3","3","43","+15"
"3","Klay Thompson","40:35","4","11",".364","2","5",".400","0","0","","0","4","4","2","1","1","0","3","10","+14"
"4","Draymond Green","40:22","4","8",".500","0","2",".000","2","2","1.000","0","2","2","9","2","0","2","4","10","-2"
"5","Stephen Curry","39:15","3","16",".188","1","10",".100","4","4","1.000","0","5","5","6","1","0","2","3","11","0"
"6","JaVale McGee","14:29","5","7",".714","0","0","","0","0","","2","1","3","0","0","2","1","1","10","+3"
"8","Andre Iguodala","21:53","3","4",".750","0","0","","2","2","1.000","0","2","2","1","1","0","1","3","8","+14"
"9","Shaun Livingston","17:23","4","5",".800","0","0","","0","0","","0","0","0","2","0","0","0","3","8","+3"
"10","Jordan Bell","11:58","4","5",".800","0","0","","2","4",".500","2","4","6","0","0","1","0","0","10","0"
"11","David West","5:04","0","2",".000","0","0","","0","0","","1","1","2","0","0","0","1","0","0","-3"
"12","Nick Young","4:48","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-5"
"13","Patrick McCaw","0:58","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+1"
"14","Kevon Looney","0:01","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0"
"15","Zaza Pachulia","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","42","81",".519","9","26",".346","17","19",".895","6","31","37","27","6","5","10","20","110",""
